block,sender,receiver,token,send_amount,re_amount
174478,0x01494E1A4c64b588bb0E1B9c0dA8c85A8Ed4B464,0x01494E1A4c64b588bb0E1B9c0dA8c85A8Ed4B464,USDT,200000000,180000000
174362,0xf97cF0810723d2Bc7e6A8070E22e144130fC469D,0xf97cF0810723d2Bc7e6A8070E22e144130fC469D,USDT,9189000000,9169000000
174041,0x95b25aCd9dC957a7e10EDDbf08bA340B987e146A,0x063625a2f4514eC50C4e2C81Fbc26D259E681a11,USDT,2720500000,2700500000
168959,0x0956D7bF23EC632Bea750898aF274E79fe247bF2,0x0956D7bF23EC632Bea750898aF274E79fe247bF2,USDT,6068000000,6048000000
151831,0xcF28D6c3e84437136E6984142126EA286a9Ba4D6,0x07d6aa38d47c141644dD27c1b03f5B2Fb2e6d695,USDT,1222323800,1202323800
138683,0xf484a6a2cCe70DFDf58E2029B4eC9c45a16dfd2B,0xf484a6a2cCe70DFDf58E2029B4eC9c45a16dfd2B,USDT,4000000,3000000
ETP_TOTAL,0
GENE_TOTAL,0
USDT_TOTAL,19302.8238
DNA_TOTAL,0
